,Longitude,Latitude
247,-79.9466999828,40.4414206151
248,-79.9466984973,40.4414203184
249,-79.9466970118,40.4414200217
250,-79.9466955263,40.441419725
251,-79.9466940409,40.4414194283
252,-79.9466925554,40.4414191316
253,-79.9466910699,40.4414188349
254,-79.9466895844,40.4414185382
255,-79.9466880989,40.4414182415
256,-79.9466866134,40.4414179448
257,-79.9466851279,40.4414176481
258,-79.9466836424,40.4414173514
259,-79.9466821569,40.4414170547
260,-79.9466806714,40.441416758
261,-79.9466791859,40.4414164613
262,-79.9466777004,40.4414161646
263,-79.9466762149,40.4414158679
264,-79.9466747294,40.4414155712
265,-79.9466732439,40.4414152745
266,-79.9466717584,40.4414149778
267,-79.946670273,40.4414146811
268,-79.9466687875,40.4414143844
269,-79.946667302,40.4414140877
270,-79.9466658165,40.441413791
271,-79.946664331,40.4414134943
272,-79.9466628455,40.4414131976
273,-79.94666136,40.4414129009
274,-79.9466598745,40.4414126042
275,-79.946658389,40.4414123075
276,-79.9466569035,40.4414120108
277,-79.946655418,40.4414117141
278,-79.9466539325,40.4414114174
279,-79.946652447,40.4414111207
280,-79.9466509615,40.441410824
281,-79.946649476,40.4414105273
282,-79.9466479906,40.4414102306
283,-79.9466465051,40.4414099339
284,-79.9466450196,40.4414096372
285,-79.9466435341,40.4414093405
286,-79.9466420486,40.4414090438
287,-79.9466405631,40.4414087471
288,-79.9466390776,40.4414084504
289,-79.9466375921,40.4414081537
290,-79.9466361066,40.441407857
291,-79.9466346211,40.4414075603
292,-79.9466331356,40.4414072636
293,-79.9466316501,40.4414069669
294,-79.9466301646,40.4414066702
295,-79.9466286791,40.4414063735
296,-79.9466271936,40.4414060768
297,-79.9466257081,40.4414057801
298,-79.9466242227,40.4414054834
299,-79.9466227372,40.4414051867
300,-79.9466212517,40.44140489
301,-79.9466197662,40.4414045933
302,-79.9466182807,40.4414042966
303,-79.9466167952,40.441404
304,-79.9466153097,40.4414037033
305,-79.9466138242,40.4414034066
306,-79.9466123387,40.4414031099
307,-79.9466108532,40.4414028132
308,-79.9466093677,40.4414025165
309,-79.9466078822,40.4414022198
310,-79.9466063967,40.4414019231
311,-79.9466049112,40.4414016264
312,-79.9466034257,40.4414013297
313,-79.9466019403,40.441401033
314,-79.9466004548,40.4414007363
315,-79.9465989693,40.4414004396
316,-79.9465974838,40.4414001429
317,-79.9465959983,40.4413998462
318,-79.9465945128,40.4413995495
319,-79.9465930273,40.4413992528
320,-79.9465915418,40.4413989561
321,-79.9465900563,40.4413986594
322,-79.9465885708,40.4413983627
323,-79.9465870853,40.441398066
324,-79.9465855998,40.4413977693
325,-79.9465841143,40.4413974726
326,-79.9465826288,40.4413971759
327,-79.9465811433,40.4413968792
328,-79.9465796579,40.4413965825
329,-79.9465781724,40.4413962858
330,-79.9465766869,40.4413959891
331,-79.9465752014,40.4413956924
332,-79.9465737159,40.4413953957
333,-79.9465722304,40.441395099
334,-79.9465707449,40.4413948023
335,-79.9465692594,40.4413945056
336,-79.9465677739,40.4413942089
337,-79.9465662884,40.4413939122
338,-79.9465648029,40.4413936155
339,-79.9465633174,40.4413933188
340,-79.9465618319,40.4413930221
341,-79.9465603464,40.4413927254
342,-79.9465588609,40.4413924287
343,-79.9465573755,40.441392132
344,-79.94655589,40.4413918353
345,-79.9465544045,40.4413915386
346,-79.946552919,40.4413912419
347,-79.9465514335,40.4413909452
348,-79.946549948,40.4413906485
349,-79.9465484625,40.4413903518
350,-79.946546977,40.4413900551
351,-79.9465449048,40.4413896412
352,-79.946539239,40.4413885097
353,-79.9465335732,40.4413873782
354,-79.9465279074,40.4413862467
355,-79.9465222415,40.4413851152
356,-79.9465165757,40.4413839837
357,-79.9465109099,40.4413828522
358,-79.9465052441,40.4413817206
359,-79.9464995783,40.4413805891
360,-79.9464939125,40.4413794576
361,-79.9464882467,40.4413783261
362,-79.9464825808,40.4413771946
363,-79.946476915,40.4413760631
364,-79.9464712492,40.4413749316
365,-79.9464655834,40.4413738001
366,-79.9464599176,40.4413726686
367,-79.9464542518,40.4413715371
368,-79.946448586,40.4413704056
369,-79.9464429201,40.4413692741
370,-79.9464372543,40.4413681426
371,-79.9464315885,40.4413670111
372,-79.9464259227,40.4413658796
373,-79.9464202569,40.441364748
374,-79.9464145911,40.4413636165
375,-79.9464089253,40.441362485
376,-79.9464032595,40.4413613535
377,-79.9463975936,40.441360222
378,-79.9463919278,40.4413590905
379,-79.946386262,40.441357959
380,-79.9463805962,40.4413568275
381,-79.9463749304,40.441355696
382,-79.9463692646,40.4413545645
383,-79.9463635988,40.441353433
384,-79.946357933,40.4413523015
385,-79.9463522671,40.44135117
386,-79.9463466013,40.4413500385
387,-79.9463409355,40.441348907
388,-79.9463352697,40.4413477754
389,-79.9463296039,40.4413466439
390,-79.9463239381,40.4413455124
391,-79.9463182723,40.4413443809
392,-79.9463126065,40.4413432494
393,-79.9463069407,40.4413421179
394,-79.9463012748,40.4413409864
395,-79.946295609,40.4413398549
396,-79.9462899432,40.4413387234
397,-79.9462842774,40.4413375919
398,-79.9462786116,40.4413364604
399,-79.9462729458,40.4413353289
400,-79.94626728,40.4413341974
401,-79.9462616142,40.4413330659
402,-79.9462559484,40.4413319344
403,-79.9462502825,40.4413308029
404,-79.9462446167,40.4413296713
405,-79.9462389509,40.4413285398
406,-79.9462332851,40.4413274083
407,-79.9462276193,40.4413262768
408,-79.9462219535,40.4413251453
409,-79.9462162877,40.4413240138
410,-79.9462106219,40.4413228823
411,-79.9462049561,40.4413217508
412,-79.9461992903,40.4413206193
413,-79.9461936245,40.4413194878
414,-79.9461879586,40.4413183563
415,-79.9461822928,40.4413172248
416,-79.946176627,40.4413160933
417,-79.9461709612,40.4413149618
418,-79.9461652954,40.4413138303
419,-79.9461596296,40.4413126987
420,-79.9461539638,40.4413115672
421,-79.946148298,40.4413104357
422,-79.9461426322,40.4413093042
423,-79.9461369664,40.4413081727
424,-79.9461313006,40.4413070412
425,-79.9461256347,40.4413059097
426,-79.9461199689,40.4413047782
427,-79.9461143031,40.4413036467
428,-79.9461086373,40.4413025152
429,-79.9461029715,40.4413013837
430,-79.9460973057,40.4413002522
431,-79.9460916399,40.4412991207
432,-79.9460859741,40.4412979892
433,-79.9460803083,40.4412968577
434,-79.9460746425,40.4412957261
435,-79.9460689767,40.4412945946
436,-79.9460633109,40.4412934631
437,-79.9460576451,40.4412923316
438,-79.9460519793,40.4412912001
439,-79.9460463134,40.4412900686
440,-79.9460406476,40.4412889371
441,-79.9460349818,40.4412878056
442,-79.946029316,40.4412866741
443,-79.9460236502,40.4412855426
444,-79.9460179844,40.4412844111
445,-79.9460123186,40.4412832796
446,-79.9460066528,40.4412821481
447,-79.946000987,40.4412810166
448,-79.9459953212,40.4412798851
449,-79.9459896554,40.4412787535
450,-79.9459839896,40.441277622
451,-79.9459783238,40.4412764905
452,-79.945972658,40.441275359
453,-79.9459669922,40.4412742275
454,-79.9459613264,40.441273096
455,-79.9459556606,40.4412719645
456,-79.9459499947,40.441270833
457,-79.9459443289,40.4412697015
458,-79.9459386631,40.44126857
459,-79.9459329973,40.4412674385
460,-79.9459273315,40.441266307
461,-79.9459216657,40.4412651755
462,-79.9459159999,40.441264044
463,-79.9459103341,40.4412629125
464,-79.9459046683,40.4412617809
465,-79.9458990025,40.4412606494
466,-79.9458933367,40.4412595179
467,-79.9458876709,40.4412583864
468,-79.9458820051,40.4412572549
469,-79.9458763393,40.4412561234
470,-79.9458706735,40.4412549919
471,-79.9458650077,40.4412538604
472,-79.9458593419,40.4412527289
473,-79.9458536761,40.4412515974
474,-79.9458480103,40.4412504659
475,-79.9458423445,40.4412493344
476,-79.9458366787,40.4412482029
477,-79.9458310129,40.4412470714
478,-79.9458253471,40.4412459399
479,-79.9458196813,40.4412448084
480,-79.9458140155,40.4412436768
481,-79.9458083497,40.4412425453
482,-79.9458026839,40.4412414138
483,-79.945797018,40.4412402823
484,-79.9457913522,40.4412391508
485,-79.9457856864,40.4412380193
486,-79.9457800206,40.4412368878
487,-79.9457743548,40.4412357563
488,-79.945768689,40.4412346248
489,-79.9457630232,40.4412334933
490,-79.9457573574,40.4412323618
491,-79.9457516916,40.4412312303
492,-79.9457460258,40.4412300988
493,-79.94574036,40.4412289673
494,-79.9457346942,40.4412278358
495,-79.9457290284,40.4412267042
496,-79.9457233626,40.4412255727
497,-79.9457176968,40.4412244412
498,-79.945712031,40.4412233097
499,-79.9457063652,40.4412221782
500,-79.9457006994,40.4412210467
501,-79.9456950336,40.4412199152
502,-79.9456893678,40.4412187837
503,-79.945683702,40.4412176522
504,-79.9456780362,40.4412165207
505,-79.9456723704,40.4412153892
506,-79.9456667046,40.4412142577
507,-79.9456610388,40.4412131262
508,-79.945655373,40.4412119947
509,-79.9456497072,40.4412108632
510,-79.9456440414,40.4412097316
511,-79.9456383756,40.4412086001
512,-79.9456327098,40.4412074686
513,-79.945627044,40.4412063371
514,-79.9456213782,40.4412052056
515,-79.9456157124,40.4412040741
516,-79.9456100466,40.4412029426
517,-79.9456043808,40.4412018111
518,-79.945598715,40.4412006796
519,-79.9455930492,40.4411995481
520,-79.9455873834,40.4411984166
521,-79.9455817176,40.4411972851
522,-79.9455760518,40.4411961536
523,-79.945570386,40.4411950221
524,-79.9455647202,40.4411938906
525,-79.9455590544,40.441192759
526,-79.9455533886,40.4411916275
527,-79.9455477228,40.441190496
528,-79.945542057,40.4411893645
529,-79.9455363912,40.441188233
530,-79.9455307254,40.4411871015
531,-79.9455250596,40.44118597
532,-79.9455193938,40.4411848385
533,-79.945513728,40.441183707
534,-79.9455080622,40.4411825755
535,-79.9455023965,40.441181444
536,-79.9454967307,40.4411803125
537,-79.9454910649,40.441179181
538,-79.9454853991,40.4411780495
539,-79.9454797333,40.441176918
540,-79.9454740675,40.4411757864
541,-79.9454684017,40.4411746549
542,-79.9454627359,40.4411735234
543,-79.9454570701,40.4411723919
544,-79.9454514043,40.4411712604
545,-79.9454457385,40.4411701289
546,-79.9454400727,40.4411689974
547,-79.9454344069,40.4411678659
548,-79.9454287411,40.4411667344
549,-79.9454230753,40.4411656029
550,-79.9454174095,40.4411644714
551,-79.9454117437,40.4411633399
552,-79.9454060779,40.4411622084
553,-79.9454004121,40.4411610769
554,-79.9453947463,40.4411599454
555,-79.9453890805,40.4411588139
556,-79.9453834147,40.4411576823
557,-79.9453777489,40.4411565508
558,-79.9453720831,40.4411554193
559,-79.9453664173,40.4411542878
560,-79.9453607515,40.4411531563
561,-79.9453550857,40.4411520248
562,-79.94534942,40.4411508933
563,-79.9453437542,40.4411497618
